factor_id,factor_name,factor_family,formula,canonical_expression,description,economic_hypothesis,universe,input_fields,lookback,operators,PIT_status,max_source_lag,missing_policy,winsorization,normalization,expression_hash,complexity_depth,complexity_inputs,complexity_interactions,created_date,created_by,experiment_id,discovery_period,validation_period,test_period,status,notes
AF_000011,addon_ranking,BB_CONDITIONAL,cs_rank(bb_z) /* ADD_ON 排序代理 */,cs_rank(bb_z) /* ADD_ON 排序代理 */,ADD_ON 排序：signal IC 0.21-0.36 但组合仅 3 次资金竞争、单笔净负、p=0.18,,A,,,,LEGACY_PIT_REVIEWED,,dropna,none,none,,,,,2026-09-09,legacy_import,LEGACY_RESEARCH,2020-2022,2023,2024,FAIL,"LEGACY_RESEARCH; Phase 2 评级 C; source=commit cc20074 (ML-BB Phase 2, rating C)"
AF_000012,early_exit_1.5pct,BB_CONDITIONAL,sign(distance_to_lower_band) /* 退出规则，非因子 */,sign(distance_to_lower_band),EE15 提前 1.5% 退出——冻结的退出规则，不属于因子研究；记录防止混淆,,A,,,,LEGACY_PIT_REVIEWED,,,,,,,,,2026-09-09,legacy_import,LEGACY_RESEARCH,2020-2022,2023,2024,ARCHIVED,LEGACY_RESEARCH; 冻结 commit 31f7266b; 禁止作为因子纳入 Alpha Factory
AF_000013,monthly_bb,BB_CONDITIONAL,bb_z /* 月线分支 */,bb_z,月线 BB 均值回归独立分支（MONTHLY-BB-MR）——状态：独立研究未并入,,A,,,,LEGACY_PIT_REVIEWED,,,,,,,,,2026-09-09,legacy_import,LEGACY_RESEARCH,2020-2022,2023,2024,PROPOSED,LEGACY_RESEARCH; 独立分支，未冻结，禁止并入 Alpha Factory Phase 0
AF_000014,SMOKE_ret_5,PRICE_REVERSAL,ret_5,ret_5,过去5日收益：超跌反弹假设,过去5日收益：超跌反弹假设,A,,,,PIT_OK,0.0,dropna,none,none,77185db1dc4f3e23,1.0,1.0,0.0,2026-09-09,phase0_smoke,AFE_20260909_0001,2020-2022,2023,2024,SCREENING,SMOKE_ONLY
AF_000015,SMOKE_ret_20,PRICE_REVERSAL,ret_20,ret_20,过去20日收益：中期超跌,过去20日收益：中期超跌,A,,,,PIT_OK,0.0,dropna,none,none,26e84481fcbe13db,1.0,1.0,0.0,2026-09-09,phase0_smoke,AFE_20260909_0001,2020-2022,2023,2024,SCREENING,SMOKE_ONLY
AF_000016,SMOKE_ret5_div_atr,INTERACTION,"ratio(ret_5,atr14_pct)","ratio(ret_5,atr14_pct)",风险调整后的短期超跌,风险调整后的短期超跌,A,,,,PIT_OK,0.0,dropna,none,none,5aa2c9e32d8d7b40,2.0,2.0,1.0,2026-09-09,phase0_smoke,AFE_20260909_0001,2020-2022,2023,2024,SCREENING,SMOKE_ONLY
AF_000017,SMOKE_amount_cs,LIQUIDITY,cs_rank(signal_day_amount),cs_rank(signal_day_amount),当日成交额横截面排名,当日成交额横截面排名,A,,,,PIT_OK,0.0,dropna,none,none,f565f93c6f000760,2.0,1.0,0.0,2026-09-09,phase0_smoke,AFE_20260909_0001,2020-2022,2023,2024,SCREENING,SMOKE_ONLY
AF_000018,SMOKE_amount_ratio_5_20,VOLUME_PRICE,amount_ratio_5_20,amount_ratio_5_20,量能扩张,量能扩张,A,,,,PIT_OK,0.0,dropna,none,none,fca292844f72ba48,1.0,1.0,0.0,2026-09-09,phase0_smoke,AFE_20260909_0001,2020-2022,2023,2024,SCREENING,SMOKE_ONLY
AF_000019,SMOKE_drawdown_20,PRICE_REVERSAL,drawdown_20,drawdown_20,20日回撤深度,20日回撤深度,A,,,,PIT_OK,0.0,dropna,none,none,9a30694edd910de7,1.0,1.0,0.0,2026-09-09,phase0_smoke,AFE_20260909_0001,2020-2022,2023,2024,SCREENING,SMOKE_ONLY
AF_000020,SMOKE_dist_52w_high,TREND,distance_52w_high,distance_52w_high,距52周高点,距52周高点,A,,,,PIT_OK,0.0,dropna,none,none,a9a506df18505e1c,1.0,1.0,0.0,2026-09-09,phase0_smoke,AFE_20260909_0001,2020-2022,2023,2024,SCREENING,SMOKE_ONLY
AF_000021,SMOKE_market_breadth,BREADTH,daily_bb_signal_count,daily_bb_signal_count,市场宽度：当日BB信号数,市场宽度：当日BB信号数,A,,,,PIT_OK,0.0,dropna,none,none,768c8a4609dda961,1.0,1.0,0.0,2026-09-09,phase0_smoke,AFE_20260909_0001,2020-2022,2023,2024,SCREENING,SMOKE_ONLY
AF_000022,SMOKE_breadth_up,BREADTH,daily_bb_up_ratio,daily_bb_up_ratio,信号日上涨占比,信号日上涨占比,A,,,,PIT_OK,0.0,dropna,none,none,6f189dc93bed19ed,1.0,1.0,0.0,2026-09-09,phase0_smoke,AFE_20260909_0001,2020-2022,2023,2024,SCREENING,SMOKE_ONLY
AF_000023,SMOKE_bbz_x_amount,INTERACTION,"interaction(bb_z,cs_rank(signal_day_amount))","interaction((cs_rank,signal_day_amount),bb_z)",深度×流动性交互,深度×流动性交互,A,,,,PIT_OK,0.0,dropna,none,none,206c17a77b759d12,3.0,2.0,1.0,2026-09-09,phase0_smoke,AFE_20260909_0001,2020-2022,2023,2024,SCREENING,SMOKE_ONLY
AF_000024,SMOKE_drawdown_minus_ret,PRICE_REVERSAL,"diff(drawdown_20,ret_20)","diff(drawdown_20,ret_20)",回撤-收益差,回撤-收益差,A,,,,PIT_OK,0.0,dropna,none,none,1ef29bd8ce28b8b2,2.0,2.0,1.0,2026-09-09,phase0_smoke,AFE_20260909_0001,2020-2022,2023,2024,SCREENING,SMOKE_ONLY
AF_000025,SMOKE_min_ret5_ret20,PRICE_REVERSAL,"min(ret_5,ret_20)","min(ret_20,ret_5)",短中期收益较低者,短中期收益较低者,A,,,,PIT_OK,0.0,dropna,none,none,08d6ce0101c9e4d3,2.0,2.0,1.0,2026-09-09,phase0_smoke,AFE_20260909_0001,2020-2022,2023,2024,SCREENING,SMOKE_ONLY
AF_000026,SMOKE_gap_sign,GAP,sign(gap_pct),sign(gap_pct),跳空方向,跳空方向,A,,,,PIT_OK,0.0,dropna,none,none,02b1cec9fdd93260,2.0,1.0,0.0,2026-09-09,phase0_smoke,AFE_20260909_0001,2020-2022,2023,2024,SCREENING,SMOKE_ONLY
AF_000027,rsi_filter,TREND,"ts_zscore(signal_day_close,20) /* RSI 代理 */","ts_zscore(signal_day_close,20) /* RSI 代理 */",RSI 入场过滤：已审计关闭，无增量,,A,,,,LEGACY_PIT_REVIEWED,,dropna,none,none,,,,,2026-09-09,legacy_import,LEGACY_RESEARCH,2020-2022,2023,2024,INVALID,"LEGACY_RESEARCH; 原结论""固定止损、周线BB、RSI/MACD、Squeeze/ADX入场过滤等分支均已关闭""; source=commit 31f7266b9e978b031e0b685af4876312eb0090d3 (EE15 freeze)"
AF_000028,macd_filter,TREND,"diff(signal_day_close,signal_day_close) /* MACD 代理 */","diff(signal_day_close,signal_day_close) /* MACD 代理 */",MACD 过滤：已审计关闭,,A,,,,LEGACY_PIT_REVIEWED,,dropna,none,none,,,,,2026-09-09,legacy_import,LEGACY_RESEARCH,2020-2022,2023,2024,INVALID,LEGACY_RESEARCH; source=commit 31f7266b9e978b031e0b685af4876312eb0090d3 (EE15 freeze)
AF_000029,squeeze_adx_filter,VOLATILITY,"interaction(bb_z,bb_z) /* Squeeze/ADX 代理 */","interaction(bb_z,bb_z) /* Squeeze/ADX 代理 */",Squeeze / ADX 入场过滤：已关闭,,A,,,,LEGACY_PIT_REVIEWED,,dropna,none,none,,,,,2026-09-09,legacy_import,LEGACY_RESEARCH,2020-2022,2023,2024,INVALID,LEGACY_RESEARCH; source=commit 31f7266b9e978b031e0b685af4876312eb0090d3 (EE15 freeze)
AF_000030,regime_filter,MARKET_CONTEXT,sign(daily_bb_up_ratio) /* regime 代理 */,sign(daily_bb_up_ratio) /* regime 代理 */,简单 regime filter：已关闭,,A,,,,LEGACY_PIT_REVIEWED,,dropna,none,none,,,,,2026-09-09,legacy_import,LEGACY_RESEARCH,2020-2022,2023,2024,INVALID,LEGACY_RESEARCH; source=commit 31f7266b9e978b031e0b685af4876312eb0090d3 (EE15 freeze)
AF_000031,bad_classifier,BB_CONDITIONAL,cs_rank(drawdown_20) /* BAD 模型代理 */,cs_rank(drawdown_20) /* BAD 模型代理 */,坏单分类器：signal 分层存在（BAD 率 22% vs 11-14%），但 Phase 2 组合价值 p=0.24 不显著、2023 反向,,A,,,,LEGACY_PIT_REVIEWED,,dropna,none,none,,,,,2026-09-09,legacy_import,LEGACY_RESEARCH,2020-2022,2023,2024,INVALID,"LEGACY_RESEARCH; Phase 2 评级 C; source=commit cc20074 (ML-BB Phase 2, rating C)"
AF_000032,addon_ranking,BB_CONDITIONAL,cs_rank(bb_z) /* ADD_ON 排序代理 */,cs_rank(bb_z) /* ADD_ON 排序代理 */,ADD_ON 排序：signal IC 0.21-0.36 但组合仅 3 次资金竞争、单笔净负、p=0.18,,A,,,,LEGACY_PIT_REVIEWED,,dropna,none,none,,,,,2026-09-09,legacy_import,LEGACY_RESEARCH,2020-2022,2023,2024,INVALID,"LEGACY_RESEARCH; Phase 2 评级 C; source=commit cc20074 (ML-BB Phase 2, rating C)"
AF_000033,early_exit_1.5pct,BB_CONDITIONAL,sign(distance_to_lower_band) /* 退出规则，非因子 */,sign(distance_to_lower_band),EE15 提前 1.5% 退出——冻结的退出规则，不属于因子研究；记录防止混淆,,A,,,,LEGACY_PIT_REVIEWED,,,,,,,,,2026-09-09,legacy_import,LEGACY_RESEARCH,2020-2022,2023,2024,INVALID,LEGACY_RESEARCH; 冻结 commit 31f7266b; 禁止作为因子纳入 Alpha Factory
AF_000034,monthly_bb,BB_CONDITIONAL,bb_z /* 月线分支 */,bb_z,月线 BB 均值回归独立分支（MONTHLY-BB-MR）——状态：独立研究未并入,,A,,,,LEGACY_PIT_REVIEWED,,,,,,,,,2026-09-09,legacy_import,LEGACY_RESEARCH,2020-2022,2023,2024,INVALID,LEGACY_RESEARCH; 独立分支，未冻结，禁止并入 Alpha Factory Phase 0
AF_000035,weekly_bb,BB_CONDITIONAL,bb_z /* 周线版 */,bb_z,周线 BB 均值回归：已关闭,,A,,,,LEGACY_PIT_REVIEWED,,dropna,none,none,e2f2e19a2b7b89af,,,,2026-09-10,legacy_import,LEGACY_RESEARCH,2020-2022,2023,2024,FAIL,LEGACY_RESEARCH; source=commit 31f7266b9e978b031e0b685af4876312eb0090d3 (EE15 freeze)
AFD_001,AFD_001,PRICE_REVERSAL,"ratio(ret_5d, atr14_pct)","ratio(ret_5d,atr14_pct)",,,A,,,,,,,,,,,,,2026-09-11,ML_DISTILLED,AFE_20260910_0004,,,,PROPOSED,
AFD_002,AFD_002,BB_CONDITIONAL,"interaction(daily_bb_signal_count, bb_z)","interaction(bb_z,daily_bb_signal_count)",,,A,,,,,,,,,,,,,2026-09-11,ML_DISTILLED,AFE_20260910_0004,,,,PROPOSED,
AFD_003,AFD_003,RELATIVE_STRENGTH,"diff(ret_5d, csi300_ret_5)","diff(ret_5d,csi300_ret_5)",,,A,,,,,,,,,,,,,2026-09-11,ML_DISTILLED,AFE_20260910_0004,,,,PROPOSED,
AFD_004,AFD_004,BB_CONDITIONAL,"interaction(drawdown_20, daily_bb_down_ratio)","interaction(daily_bb_down_ratio,drawdown_20)",,,A,,,,,,,,,,,,,2026-09-11,ML_DISTILLED,AFE_20260910_0004,,,,PROPOSED,
AFD_005,AFD_005,VOLATILITY,"ratio(realized_vol_20, atr14_pct)","ratio(realized_vol_20,atr14_pct)",,,A,,,,,,,,,,,,,2026-09-11,ML_DISTILLED,AFE_20260910_0004,,,,PROPOSED,
